Year,Date,Latitude,Longitude,Temperature,source_file
,,,,,8013620831-0029.jpg_matrix.csv
,72 Doc.,74.18,82.1,,8013620831-0029.jpg_matrix.csv
,18 Jan.,73.47,75.03,,8013620831-0029.jpg_matrix.csv
,26 .,73.09,72.02,,8013620831-0029.jpg_matrix.csv
,28 .,72.53,71.16,,8013620831-0029.jpg_matrix.csv
,29 .,72.49,70.59,,8013620831-0029.jpg_matrix.csv
,9 Febr.,72.2,68.56,,8013620831-0029.jpg_matrix.csv
,5 Jan.,8.35,20.32,26.67,8013620831-0029.jpg_matrix.csv
,27 .,17.31,69.15,,8013620831-0029.jpg_matrix.csv
,28 .,18.02,74.21,,8013620831-0029.jpg_matrix.csv
,30 .,19.19,78.22,27.78,8013620831-0029.jpg_matrix.csv
,31 .,19.32,81.05,27.78,8013620831-0029.jpg_matrix.csv
,8 Jan,26.03,79.31,,8013620831-0029.jpg_matrix.csv
,9 .,26.4,79.58,,8013620831-0029.jpg_matrix.csv
,13 .,28.45,71.22,23.89,8013620831-0029.jpg_matrix.csv
,2 Jan.,23.06,85.5,,8013620831-0029.jpg_matrix.csv
,4 Jan.,11.47,73.08,,8013620831-0029.jpg_matrix.csv
,4 Jan.,12.39,73.38,,8013620831-0029.jpg_matrix.csv
,5 .,14.23,71.32,,8013620831-0029.jpg_matrix.csv
,6 .,15.58,75.17,,8013620831-0029.jpg_matrix.csv
,8 .,16.5,75.41,,8013620831-0029.jpg_matrix.csv
,13 .,19.22,74.17,,8013620831-0029.jpg_matrix.csv
,15 .,20.25,74.28,,8013620831-0029.jpg_matrix.csv
,17 .,22.23,74.58,,8013620831-0029.jpg_matrix.csv
,19 .,22.49,74.58,,8013620831-0029.jpg_matrix.csv
,21 .,24.43,74.35,,8013620831-0029.jpg_matrix.csv
1821.0,8 Jan.,50.28,77.3,20.56,8013620831-0030.jpg_matrix.csv
1821.0,9 .,31.28,76.52,21.11,8013620831-0030.jpg_matrix.csv
1821.0,9 .,32.24,76.05,23.33,8013620831-0030.jpg_matrix.csv
1821.0,10 .,33.14,75.15,20.00,8013620831-0030.jpg_matrix.csv
1821.0,11 .,34.12,74.31,19.45,8013620831-0030.jpg_matrix.csv
1821.0,11 .,34.43,74.14,26.67,8013620831-0030.jpg_matrix.csv
1821.0,12 .,35.5,73.37,22.78,8013620831-0030.jpg_matrix.csv
1824.0,21 Jan,32.13,76.52,23.89,8013620831-0030.jpg_matrix.csv
1824.0,22 .,30.4,75.47,20.56,8013620831-0030.jpg_matrix.csv
1824.0,23 .,29.4,74.57,20.56,8013620831-0030.jpg_matrix.csv
1824.0,24 .,29.24,74.3,21.67,8013620831-0030.jpg_matrix.csv
1824.0,2 Febr,24.3,71.0,24.45,8013620831-0030.jpg_matrix.csv
1824.0,17 Jan,23.44,32.03,20.56,8013620831-0030.jpg_matrix.csv
1824.0,22 .,20.4,31.11,22.22,8013620831-0030.jpg_matrix.csv
1824.0,22 .,8.17,27.26,27.78,8013620831-0030.jpg_matrix.csv
1824.0,22 .,6.5,27.09,27.22,8013620831-0030.jpg_matrix.csv
1824.0,23 .,5.33,26.46,27.22,8013620831-0030.jpg_matrix.csv
1824.0,24 .,4.23,26.14,27.22,8013620831-0030.jpg_matrix.csv
1824.0,24 .,3.35,25.49,26.67,8013620831-0030.jpg_matrix.csv
1824.0,25 .,2.59,25.2,26.67,8013620831-0030.jpg_matrix.csv
1824.0,26 .,1.58,24.45,,8013620831-0030.jpg_matrix.csv
1824.0,27 .,1.12,24.24,26.67,8013620831-0030.jpg_matrix.csv
1831.0,20 Jan.,0.53,24.12,25.56,8013620831-0030.jpg_matrix.csv
1833.0,20 Jan.,32.22,78.44,,8013620831-0030.jpg_matrix.csv
1833.0,9 Jan,11.47,24.17,23.89,8013620831-0030.jpg_matrix.csv
1833.0,9 Jan,11.08,23.58,,8013620831-0030.jpg_matrix.csv
1833.0,10 .,9.14,22.14,26.11,8013620831-0030.jpg_matrix.csv
1834.0,2 Jan.,8.18,14.46,28.33,8013620831-0030.jpg_matrix.csv
1834.0,3 .,7.42,14.32,28.33,8013620831-0030.jpg_matrix.csv
1834.0,5 .,7.12,14.23,28.33,8013620831-0030.jpg_matrix.csv
1834.0,20 .,6.36,13.43,25.56,8013620831-0030.jpg_matrix.csv
1834.0,21 .,33.34,73.16,20.00,8013620831-0030.jpg_matrix.csv
1834.0,22 .,33.5,73.49,21.11,8013620831-0030.jpg_matrix.csv
1834.0,25 .,33.27,74.08,20.00,8013620831-0030.jpg_matrix.csv
1834.0,28 .,36.51,71.44,20.56,8013620831-0030.jpg_matrix.csv
1834.0,29 .,37.24,72.39,18.33,8013620831-0030.jpg_matrix.csv
1834.0,29 .,,,17.22,8013620831-0030.jpg_matrix.csv
1836.0,28 Jan.,30.54,72.34,18.89,8013620831-0030.jpg_matrix.csv
1836.0,29 .,31.2,73.08,19.45,8013620831-0030.jpg_matrix.csv
1833.0,30 .,31.2,73.38,19.45,8013620831-0030.jpg_matrix.csv
1833.0,7 Jan.,0.11,36.08,,8013620831-0030.jpg_matrix.csv
1833.0,8 .,2.5,37.22,,8013620831-0030.jpg_matrix.csv
1833.0,9 .,4.24,39.43,,8013620831-0030.jpg_matrix.csv
1833.0,10 .,5.2,40.42,,8013620831-0030.jpg_matrix.csv
1833.0,11 .,6.46,42.04,,8013620831-0030.jpg_matrix.csv
1833.0,11 .,8.0,43.05,,8013620831-0030.jpg_matrix.csv
1833.0,13 .,10.59,45.41,,8013620831-0030.jpg_matrix.csv
